subject,trial_num,trial_type,prompt_num,prompt_type,error,WPM
1,1,irl,0,0,1.8349,42
1,1,irl,1,1,5.3571,44.8
1,1,irl,2,2,2.6786,39.6364
1,2,hap,3,3,11.0169,16.5333
1,2,hap,4,4,16.9355,13.6071
1,2,hap,5,5,16.5354,13.6311
1,3,vir,6,6,10.2564,17.3494
1,3,vir,7,7,8.3333,17.1034
1,3,vir,8,8,17.7419,15.9545
2,1,hap,0,3,7.8947,16.557
2,1,hap,1,4,11.0092,16.0976
2,1,hap,2,6,10,13.7143
2,2,vir,3,8,14.8515,16.557
2,2,vir,4,2,18.3486,14.069
2,2,vir,5,1,11.7647,17.3913
2,3,irl,6,7,7.2727,27.1837
2,3,irl,7,5,9.0909,27.6735
2,3,irl,8,0,8.0357,29.3333
3,1,vir,0,2,98.2456,19.7746
3,1,vir,1,3,32.4786,19.0286
3,1,vir,2,0,48.6486,18.2703
3,2,irl,3,4,0,38
3,2,irl,4,7,2.6549,39.2727
3,2,irl,5,1,2.8037,40.125
3,3,hap,6,6,6.3636,22.3158
3,3,hap,7,8,6.6667,21.2903
3,3,hap,8,5,8.2569,20.9524
4,1,irl,0,7,0.9009,38.625
4,1,irl,1,8,0.9709,36
4,1,irl,2,1,0.9524,35.0526
4,2,hap,3,5,7.2727,15
4,2,hap,4,3,0.9091,16
4,2,hap,5,4,2.7778,11.3455
4,3,vir,6,6,1.8349,15.0667
4,3,vir,7,2,1.7699,13.2121
4,3,vir,8,0,1.8018,14.2667
5,1,hap,0,5,3.5714,14.2979
5,1,hap,1,0,8.0357,16.7407
5,1,hap,2,6,9.8214,11.7876
5,2,irl,3,7,0.9174,37.3714
5,2,irl,4,1,6.422,41.0909
5,2,irl,5,2,0.8929,35.3514
5,3,vir,6,8,3.8462,20.4375
5,3,vir,7,4,2.7778,18.9296
5,3,vir,8,3,5.4054,17.8286
6,1,hap,0,0,11.0092,18.9041
6,1,hap,1,5,11.3043,22.2545
6,1,hap,2,8,5.8824,16.987
6,2,irl,3,3,1.8018,37.4118
6,2,irl,4,6,2.8302,42.8
6,2,irl,5,1,0.9346,39.1765
6,3,vir,6,2,12.3894,20.1905
6,3,vir,7,4,8.4906,22.7586
6,3,vir,8,7,7.2727,20.8615
7,1,vir,0,5,23.0769,20.1231
7,1,vir,1,2,14.6789,23.7778
7,1,vir,2,6,11.215,14.5116
7,2,irl,3,4,2.7778,36.7059
7,2,irl,4,8,2.9126,42
7,2,irl,5,0,3.6036,35.027
7,3,hap,6,1,12.7273,22.3729
7,3,hap,7,3,7.3394,24.9057
7,3,hap,8,7,11.9266,20.3077
8,1,irl,0,8,0,37.4118
8,1,irl,1,1,3.7736,36.9231
8,1,irl,2,7,39.2405,31.3846
8,2,vir,3,5,13.0435,18.1622
8,2,vir,4,6,11.6071,17.6296
8,2,vir,5,2,7.6271,15.3333
8,3,hap,6,0,4.386,20.3478
8,3,hap,7,3,8.547,18.2466
8,3,hap,8,4,6.3636,18.4865
9,1,vir,0,3,4.6296,17.5059
9,1,vir,1,8,20.6349,13.5918
9,1,vir,2,7,6.3063,15.2471
9,2,hap,3,6,4.8077,16.0482
9,2,hap,4,5,1.8182,14.7273
9,2,hap,5,4,2.7778,12.1165
9,3,irl,6,0,0,41.8182
9,3,irl,7,2,2.6316,40.125
9,3,irl,8,1,0,37.3714
10,1,hap,0,4,3.7383,11.5789
10,1,hap,1,7,1.8182,12.7129
10,1,hap,2,5,3.7037,9.3043
10,2,vir,3,1,4.8544,11.2566
10,2,vir,4,6,3.7383,11.434
10,2,vir,5,8,2.9703,10.4746
10,3,irl,6,2,1.8018,23.7818
10,3,irl,7,3,0,24.6792
10,3,irl,8,0,1.8349,22.5763
11,1,vir,0,6,3.7383,15.2195
11,1,vir,1,8,3.8462,13.56
11,1,vir,2,2,8.8496,13.102
11,2,hap,3,3,0,15.9036
11,2,hap,4,7,3.6364,18.6857
11,2,hap,5,4,0.9259,16.1481
11,3,irl,6,5,0,22.3448
11,3,irl,7,1,0.9346,25.3846
11,3,irl,8,0,0,21.9661
12,1,vir,0,4,32.381,12.9231
12,1,vir,1,5,13.5135,14.2268
12,1,vir,2,3,21.9298,10.4132
12,2,hap,3,6,10.5769,11.6604
12,2,hap,4,8,19.6078,12.466
12,2,hap,5,0,13.0841,12.48
12,3,irl,6,7,11.7117,21.8
12,3,irl,7,2,7.3394,20.381
12,3,irl,8,1,11.3208,18.5
